,testcase_0,testcase_1,testcase_2,testcase_3,testcase_4,testcase_5,testcase_6,testcase_7,testcase_8,testcase_9
1,0.111652,0.090156,0.079725,0.072564,0.079837,0.070708,0.074067,0.077797,0.095576,0.141377
2,0.123178,0.153566,0.108482,0.104374,0.20073,0.103845,0.143755,0.102829,0.106821,0.130864
3,0.136909,0.106539,0.092712,0.099161,0.093554,0.108407,0.111156,0.122792,0.118167,0.142956
4,0.151132,0.12077,0.107466,0.121611,0.115432,0.116196,0.137609,0.118789,0.129412,0.149066
5,0.243675,0.14444,0.133165,0.247096,0.131124,0.170699,0.142017,0.144876,0.127047,0.154958
6,0.125278,0.13579,0.139165,0.127751,0.117323,0.132056,0.134291,0.141579,0.12803,0.153006
7,0.148589,0.153367,0.277691,0.130456,0.122824,0.140729,0.204148,0.151244,0.133575,0.164623
8,0.194572,0.169013,0.138239,0.309131,0.149156,0.144915,0.21583,0.159137,0.168597,0.168691
9,0.199973,0.164596,0.158159,0.16058,0.140811,0.155969,0.155553,0.158439,0.183132,0.174861
10,0.197161,0.165128,0.153972,0.229951,0.165906,0.163999,0.189034,0.175111,0.182871,0.173816
11,0.203767,0.241693,0.350854,0.179089,0.155844,0.172572,0.159952,0.197885,0.217612,0.181247
12,0.20995,0.313474,0.379848,0.263893,0.227384,0.21986,0.211711,0.188539,0.190166,0.187003
13,0.213292,0.22254,0.204872,0.168018,0.17373,0.170727,0.187795,0.183296,0.198629,0.191957
14,0.211059,0.205623,0.196853,0.174917,0.182069,0.193923,0.194008,0.19381,0.205274,0.192942
15,0.19045,0.172223,0.171568,0.194346,0.191145,0.180837,0.183387,0.188474,0.200981,0.195906
16,0.292505,0.245829,0.204053,0.192196,0.449995,0.228723,0.20917,0.218949,0.231446,0.253148
17,0.284349,0.293966,0.23061,0.206539,0.196803,0.318075,0.25055,0.219951,0.245503,0.252667
18,0.45366,0.250171,0.216066,0.194124,0.226841,0.203545,0.230486,0.235158,0.247404,0.254338
19,0.254436,0.22278,0.216216,0.216725,0.231648,0.278449,0.20829,0.221246,0.244184,0.291367
20,0.288564,0.240958,0.219451,0.472231,0.218882,0.231138,0.241036,0.275094,0.247532,0.273345
21,0.310957,0.31116,0.243375,0.225872,0.331809,0.257701,0.24079,0.255482,0.250665,0.27952
22,0.287894,0.28457,0.347835,0.270374,0.555173,0.258819,0.285827,0.258292,0.275854,0.284572
23,0.302001,0.551959,0.336476,0.362566,0.27063,0.260708,0.239389,0.26776,0.240668,0.278924
24,0.290824,0.266867,0.390204,0.306002,0.289585,0.260009,0.273449,0.27748,0.258661,0.29485
25,0.290445,0.29014,0.253788,0.241498,0.263374,0.264433,0.2638,0.277461,0.270522,0.291839
26,0.328729,0.316144,0.27184,0.237367,0.263002,0.272838,0.265184,0.260426,0.268531,0.307445
27,0.344394,0.316165,0.284253,0.249445,0.267054,0.282823,0.282015,0.292012,0.277009,0.31012
28,0.267653,0.357939,0.322745,0.287431,0.288939,0.299954,0.289173,0.300858,0.295778,0.309226
29,0.261939,0.395066,0.313578,0.284114,0.283873,0.368393,0.291652,0.309851,0.308104,0.355077
30,0.351005,0.381851,0.329869,0.30709,0.290301,0.282023,0.296168,0.315729,0.305777,0.337378
31,0.367452,0.371025,0.375687,0.318271,0.29928,0.286328,0.337048,0.327456,0.319471,0.344096
32,0.380323,0.390856,0.33337,0.363492,0.314055,0.29622,0.314312,0.329802,0.321984,0.336968
